Noisetier de Byzance	Genre : Corylus. Espece : colurna. Famille : Betulaceae. Annee : 1882. Hauteur : 20. Circonference : 210	Rue du Temple, rue de Bretagne, Rue Perrée, rue Eugène-Spuller 3 Paris	48.864731	2.3621871	arbre
Orme champêtre	Genre : Ulmus. Espece : carpinifolia. Famille : Ulmaceae. Annee : 1935. Hauteur : 15. Circonference : 180	Place St Gervais 4 Paris	48.8557973	2.3541483	arbre
Faux de Verzy	Genre : Fagus. Espece : sylvatica. Famille : Fagaceae. Annee : 1905. Hauteur : 2. Circonference : 72	Rue des Arênes, rue de Navarre, rue Monge 5 Paris	48.8493779	2.3496606	arbre
Robinier faux-acacia	Genre : Robinia. Espece : pseudoacacia. Famille : Fabaceae. Annee : 1601. Hauteur : 11. Circonference : 385	Quai de Montebello, rue Lagrange, rue Saint-Julien-le-Pauvre 5 Paris	48.8524188	2.3472273	arbre
Phellodendron de l'amour	Genre : Phellodendron. Espece : amurense. Famille : Rutaceae. Annee : 1925. Hauteur : 14. Circonference : 178	rue des Ecoles, place Marcellin-Berthelot 5 Paris	48.8493963	2.3447743	arbre
Catalpa commun	Genre : Catalpa. Espece : bignonioides. Famille : Bignoniaceae. Annee : . Hauteur : 15. Circonference : 260	Rue de Seine, rue Mazarine 6 Paris	48.8572608	2.3364718	arbre
Platane d'Orient	Genre : Platanus. Espece : orientalis. Famille : Platanaceae. Annee : 1814. Hauteur : 31. Circonference : 700	Boulevard de Courcelles, avenue V‚lasquez, avenue Van-Dyck, avenue Ruysdael 8 Paris	48.878197	2.309897	arbre
Arbre aux quarante écus	Genre : Ginkgo. Espece : biloba. Famille : Ginkgoaceae. Annee : 1879. Hauteur : 22. Circonference : 283	Boulevard de Courcelles, avenue Vélasquez, avenue Van-Dyck, avenue Ruysdael 8 Paris	48.878197	2.309897	arbre
Ptérocarya du Caucase	Genre : Pterocarya. Espece : fraxinifolia. Famille : Juglandaceae. Annee : 1862. Hauteur : 22. Circonference : 330	Place d'Estienne-d'Orves 9 Paris	48.8769296	2.3312735	arbre
Noisetier de Byzance	Genre : Corylus. Espece : colurna. Famille : Betulaceae. Annee : 1879. Hauteur : 20. Circonference : 245	Rue Lacharrière, rue Rochebrune, rue du Général-Guilhem, rue du Général-Blaise 11 Paris	48.8618486	2.3781985	arbre
Micocoulier de Provence	Genre : Celtis. Espece : australis. Famille : Cannabaceae. Annee : 1906. Hauteur : 16. Circonference : 295	27, boulevard Soult 12 Paris	48.8373613	2.4078668	arbre
Platane commun	Genre : Platanus. Espece : x acerifolia. Famille : Platanaceae. Annee : . Hauteur : 35. Circonference : 510	Rue Paul-Belmondo, rue Joseph-Kessel, rue de l'Ambroise, rue François-Truffaut 12 Paris	48.8325175	2.3849678	arbre
Hêtre pourpre	Genre : Fagus. Espece : sylvatica. Famille : Fagaceae. Annee : 1895. Hauteur : 23. Circonference : 370	Cours Marigny 12 Paris	48.8454523	2.4396932	arbre
Marronnier d'Inde	Genre : Aesculus. Espece : hippocastanum. Famille : Sapindaceae. Annee : 1894. Hauteur : 18. Circonference : 355	Rue Croulebarbe, rue Corvisart, rue Emile-Deslandres, rue des Cordelières 13 Paris	48.8345753	2.3490085	arbre
Faux orme de Sibérie	Genre : Zelkova. Espece : carpinifolia. Famille : Ulmaceae. Annee : 1852. Hauteur : 30. Circonference : 395	Avenue Foch 16 Paris	48.8740353	2.2908808	arbre
Ptérocarya du Caucase	Genre : Pterocarya. Espece : fraxinifolia. Famille : Juglandaceae. Annee : 1894. Hauteur : 30. Circonference : 445	Avenue Foch 16 Paris	48.8740353	2.2908808	arbre
Marronnier d'Inde	Genre : Aesculus. Espece : hippocastanum. Famille : Sapindaceae. Annee : . Hauteur : 30. Circonference : 505	Avenue Foch 16 Paris	48.8740353	2.2908808	arbre
Arbre aux quarante écus	Genre : Ginkgo. Espece : biloba. Famille : Ginkgoaceae. Annee : 1895. Hauteur : 25. Circonference : 395	3 avenue de la Porte d'Auteuil, 1 avenue Gordon Benett 16 Paris	48.847907	2.254536	arbre
Chêne liège	Genre : Quercus. Espece : suber. Famille : Fagaceae. Annee : 1895. Hauteur : 10. Circonference : 180	3 avenue de la Porte d'Auteuil, 1 avenue Gordon Benett 16 Paris	48.847907	2.254536	arbre
Noisetier de Byzance	Genre : Corylus. Espece : colurna. Famille : Betulaceae. Annee : . Hauteur : 20. Circonference : 260	Place du Trocadéro et du 11 Novembre, rue Benjamin Franklin, avenue Albert de Mun 16 Paris	48.8629774	2.2918253	arbre
Paulownia	Genre : Paulownia. Espece : tomentosa. Famille : Paulowniaceae. Annee : . Hauteur : 20. Circonference : 420	Place du Trocadéro et du 11 Novembre, rue Benjamin Franklin, avenue Albert de Mun 16 Paris	48.8629774	2.2918253	arbre
If commun	Genre : Taxus. Espece : baccata. Famille : Taxaceae. Annee : 1772. Hauteur : 13. Circonference : 235	Allée de Longchamp, route de Sèvres à Neuilly 16 Paris	48.8503472	2.2342684	arbre
Désespoir du singe	Genre : Araucaria. Espece : araucana. Famille : Araucariaceae. Annee : 1907. Hauteur : 9. Circonference : 140	Allée de Longchamp, route de Sèvres à Neuilly 16 Paris	48.8503472	2.2342684	arbre
Platane commun	Genre : Platanus. Espece : x acerifolia. Famille : Platanaceae. Annee : 1847. Hauteur : 40. Circonference : 480	Allée de Longchamp, route de Sèvres à Neuilly 16 Paris	48.8503472	2.2342684	arbre
Platane commun	Genre : Platanus. Espece : x acerifolia. Famille : Platanaceae. Annee : 1840. Hauteur : 30. Circonference : 595	Place Charles Filion, rue Cardinet 17 Paris	48.8816761	2.3022304	arbre
Platane d'Orient	Genre : Platanus. Espece : orientalis. Famille : Platanaceae. Annee : 1857. Hauteur : 27. Circonference : 470	Place Saint-Pierre, rue Ronsard, rue Paul-Albert, rue Maurice Utrillo 18 Paris	48.8861565	2.3440068	arbre
Tilleul argenté	Genre : Tilia. Espece : tomentosa. Famille : Malvaceae. Annee : 1945. Hauteur : 20. Circonference : 205	Place Stalingrad 19 Paris	48.884035	2.36846	arbre
Sophora du Japon	Genre : Styphnolobium. Espece : japonicum. Famille : Fabaceae. Annee : 1873. Hauteur : 10. Circonference : 335	Rue Manin, rue Botzaris 19 Paris	48.8793445	2.3845361	arbre
Platane d'Orient	Genre : Platanus. Espece : orientalis. Famille : Platanaceae. Annee : 1862. Hauteur : 34. Circonference : 670	Rue Manin, rue Botzaris 19 Paris	48.8793445	2.3845361	arbre
Arbre aux quarante écus	Genre : Ginkgo. Espece : biloba. Famille : Ginkgoaceae. Annee : 1913. Hauteur : 33. Circonference : 230	Rue Manin, rue Botzaris 19 Paris	48.8793445	2.3845361	arbre
Marronnier d'Inde	Genre : Aesculus. Espece : hippocastanum. Famille : Sapindaceae. Annee : . Hauteur : 22. Circonference : 345	Rue du repos, rue des Rondeaux 20 Paris	48.862006	2.3987844	arbre
Erable de Montpellier	Genre : Acer. Espece : monspessulanum. Famille : Sapindac‚es. Annee : 1833. Hauteur : 12. Circonference : 225	Rue du repos, rue des Rondeaux 20 Paris	48.862006	2.3987844	arbre
